0,1,2,3,4,5,6,7,8
0,47,19,14,5,0,32,9,23
0,39,19,12,3,4,35,18,17
0,35,19,10,5,4,22,13,9
0,32,19,10,2,7,28,20,8
1,29,19,7,8,4,27,19,8
2,28,19,8,4,7,30,26,4
0,27,19,7,6,6,21,16,5
2,26,19,7,5,7,21,22,-1
2,26,19,6,8,5,29,27,2
3,25,19,7,4,8,21,25,-4
1,25,19,6,7,6,21,20,1
1,24,19,7,3,9,21,30,-9
2,23,19,6,5,8,24,24,0
3,23,19,6,5,8,20,24,-4
1,23,19,6,5,8,19,23,-4
1,22,19,6,4,9,24,33,-9
2,19,19,5,4,10,22,26,-4
3,19,19,5,4,10,21,30,-9
3,18,19,4,6,9,10,25,-15
3,12,19,3,3,13,16,34,-18
0,41,19,12,5,2,32,16,16
0,38,19,11,5,3,27,12,15
0,37,19,11,4,4,29,15,14
0,36,19,10,6,3,23,8,15
1,33,19,10,3,6,36,26,10
0,33,19,9,6,4,29,15,14
2,26,19,7,5,7,22,16,6
1,26,19,7,5,7,15,16,-1
2,25,19,6,7,6,22,23,-1
2,23,19,6,5,8,19,24,-5
3,22,19,6,4,9,18,24,-6
1,22,19,5,7,7,18,25,-7
1,21,19,5,6,8,21,19,2
1,21,19,5,6,8,21,23,-2
3,21,19,5,6,8,23,29,-6
2,21,19,4,9,6,19,26,-7
3,20,19,5,5,9,19,30,-11
3,19,19,5,4,10,20,39,-19
2,16,19,3,7,9,11,22,-11
3,14,19,3,5,11,9,25,-16
0,42,19,13,3,3,42,18,24
0,39,19,11,6,2,30,14,16
0,37,19,11,4,4,30,19,11
1,33,19,10,3,6,25,17,8
1,32,19,8,8,3,21,12,9
1,32,19,8,8,3,21,13,8
2,31,19,8,7,4,22,16,6
0,28,19,7,7,5,27,22,5
2,27,19,8,3,8,24,23,1
2,27,19,8,3,8,18,19,-1
0,26,19,8,2,9,25,19,6
2,23,19,6,5,8,18,26,-8
3,22,19,6,4,9,21,20,1
1,22,19,6,4,9,22,26,-4
1,21,19,6,3,10,17,32,-15
2,18,19,5,3,11,21,29,-8
3,18,19,4,6,9,16,28,-12
3,16,19,3,7,9,8,25,-17
3,14,19,3,5,11,17,32,-15
3,13,19,2,7,10,10,25,-15
0,37,19,10,7,2,32,15,17
0,35,19,10,5,4,30,16,14
0,35,19,10,5,4,33,25,8
0,32,19,10,2,7,31,25,6
0,32,19,9,5,5,29,21,8
1,30,19,8,6,5,27,23,4
1,30,19,7,9,3,23,18,5
1,29,19,7,8,4,26,21,5
3,25,19,6,7,6,17,14,3
2,24,19,7,3,9,19,26,-7
2,24,19,6,6,7,24,27,-3
2,24,19,6,6,7,22,26,-4
2,22,19,6,4,9,25,29,-4
2,22,19,5,7,7,17,25,-8
3,21,19,5,6,8,21,26,-5
3,20,19,3,11,5,19,26,-7
1,19,19,5,4,10,15,20,-5
3,19,19,5,4,10,16,24,-8
1,19,19,4,7,8,22,26,-4
3,12,19,2,6,11,21,36,-15
0,42,19,13,3,3,29,14,15
0,38,19,12,2,5,31,21,10
0,36,19,11,3,5,38,20,18
0,33,19,9,6,4,29,20,9
1,33,19,8,9,2,30,20,10
0,28,19,7,7,5,18,16,2
2,25,19,7,4,8,25,23,2
1,25,19,6,7,6,18,20,-2
1,25,19,6,7,6,15,19,-4
2,24,19,5,9,5,23,23,0
2,24,19,5,9,5,19,19,0
2,24,19,5,9,5,20,21,-1
3,23,19,5,8,6,16,21,-5
2,23,19,5,8,6,15,20,-5
1,22,19,5,7,7,20,25,-5
3,21,19,6,3,10,24,32,-8
1,19,19,4,7,8,15,22,-7
3,17,19,4,5,10,15,22,-7
3,17,19,3,8,8,8,14,-6
3,7,19,0,7,12,15,31,-16
0,39,19,11,6,2,31,13,18
0,35,19,10,5,4,24,19,5
0,34,19,10,4,5,29,20,9
1,32,19,8,8,3,27,20,7
1,31,19,9,4,6,24,20,4
0,30,19,9,3,7,26,18,8
0,30,19,7,9,3,27,20,7
2,27,19,7,6,6,30,23,7
2,26,19,6,8,5,22,16,6
1,26,19,5,11,3,28,24,4
2,24,19,7,3,9,19,24,-5
3,24,19,5,9,5,20,19,1
2,22,19,6,4,9,22,30,-8
2,22,19,5,7,7,21,25,-4
1,21,19,6,3,10,13,22,-9
3,21,19,6,3,10,20,30,-10
3,20,19,5,5,9,14,20,-6
3,17,19,4,5,10,18,28,-10
3,16,19,3,7,9,16,32,-16
1,15,19,3,6,10,15,23,-8
0,47,19,15,2,2,35,11,24
0,34,19,10,4,5,32,27,5
0,34,19,9,7,3,34,17,17
0,32,19,9,5,5,31,24,7
1,32,19,8,8,3,27,17,10
1,31,19,9,4,6,28,22,6
1,31,19,9,4,6,25,19,6
2,28,19,8,4,7,21,21,0
2,27,19,7,6,6,24,19,5
0,27,19,7,6,6,22,17,5
1,26,19,7,5,7,21,19,2
2,24,19,6,6,7,19,16,3
2,24,19,6,6,7,24,25,-1
1,24,19,6,6,7,17,23,-6
3,22,19,6,4,9,18,27,-9
3,18,19,4,6,9,18,25,-7
3,18,19,4,6,9,19,31,-12
2,16,19,4,4,11,15,29,-14
3,14,19,3,5,11,18,36,-18
3,10,19,2,4,13,19,42,-23
0,41,17,13,2,2,37,11,26
0,30,17,8,6,3,28,21,7
0,28,17,8,4,5,39,24,15
0,28,17,7,7,3,34,23,11
1,28,17,8,4,5,27,25,2
1,28,17,8,4,5,27,28,-1
0,26,17,7,5,5,27,22,5
1,26,17,7,5,5,20,18,2
2,24,17,6,6,5,27,23,4
1,24,17,6,6,5,26,25,1
2,23,17,6,5,6,24,26,-2
3,19,17,3,10,4,21,21,0
2,19,17,4,7,6,17,31,-14
1,17,17,5,2,10,13,21,-8
2,17,17,4,5,8,19,28,-9
2,15,17,3,6,8,13,20,-7
3,15,17,4,3,10,15,25,-10
3,6,17,1,3,13,10,32,-22
0,48,19,15,3,1,50,19,31
0,42,19,13,3,3,43,20,23
0,39,19,12,3,4,39,18,21
0,34,19,10,4,5,35,18,17
1,31,19,9,4,6,39,26,13
1,28,19,7,7,5,37,28,9
2,28,19,7,7,5,31,30,1
1,28,19,8,4,7,28,27,1
0,27,19,8,3,8,29,30,-1
2,27,19,7,6,6,22,25,-3
1,26,19,7,5,7,31,31,0
2,22,19,6,4,9,24,27,-3
2,21,19,5,6,8,24,32,-8
1,21,19,6,3,10,21,38,-17
2,15,19,3,6,10,26,33,-7
3,14,19,4,2,13,15,42,-27
3,11,19,2,5,12,18,41,-23
3,11,19,2,5,12,16,43,-27
0,37,17,11,4,2,48,20,28
0,35,17,11,2,4,33,18,15
0,33,17,10,3,4,46,22,24
0,30,17,8,6,3,41,24,17
2,30,17,8,6,3,29,21,8
0,28,17,8,4,5,23,21,2
1,27,17,8,3,6,25,28,-3
1,26,17,7,5,5,27,23,4
1,24,17,6,6,5,18,18,0
2,23,17,6,5,6,28,31,-3
2,20,17,6,2,9,20,24,-4
1,19,17,5,4,8,22,29,-7
1,18,17,5,3,9,27,29,-2
2,18,17,6,0,11,25,39,-14
2,17,17,5,2,10,19,32,-13
3,15,17,4,3,10,18,36,-18
3,14,17,3,5,9,23,41,-18
3,12,17,3,3,11,20,36,-16
0,39,17,12,3,2,49,25,24
0,35,17,10,5,2,29,14,15
1,32,17,9,5,3,32,17,15
0,29,17,9,2,6,33,22,11
0,29,17,7,8,2,26,19,7
1,28,17,7,7,3,32,21,11
1,28,17,7,7,3,31,26,5
0,27,17,6,9,2,30,26,4
1,24,17,6,6,5,31,28,3
1,22,17,5,7,5,32,27,5
2,19,17,5,4,8,25,30,-5
2,19,17,5,4,8,17,26,-9
3,18,17,4,6,7,19,25,-6
2,17,17,4,5,8,23,28,-5
2,17,17,5,2,10,13,24,-11
3,15,17,3,6,8,15,28,-13
2,7,17,1,4,12,15,36,-21
3,7,17,1,4,12,14,44,-30
0,43,17,14,1,2,56,16,40
0,34,17,11,1,5,41,26,15
1,29,17,8,5,4,28,16,12
0,28,17,8,4,5,40,28,12
1,28,17,8,4,5,35,26,9
2,27,17,7,6,4,27,24,3
0,27,17,7,6,4,23,21,2
1,25,17,6,7,4,27,27,0
1,24,17,7,3,7,25,17,8
0,22,17,6,4,7,30,22,8
3,21,17,6,3,8,20,35,-15
2,20,17,6,2,9,16,26,-10
2,20,17,6,2,9,17,29,-12
1,19,17,5,4,8,22,32,-10
2,18,17,4,6,7,17,26,-9
2,17,17,4,5,8,22,31,-9
3,16,17,3,7,7,14,22,-8
3,5,17,1,2,14,13,49,-36
0,36,17,10,6,1,51,15,36
0,33,17,10,3,4,29,22,7
0,32,17,9,5,3,37,23,14
1,31,17,9,4,4,36,25,11
0,31,17,10,1,6,31,25,6
0,31,17,9,4,4,26,24,2
1,29,17,8,5,4,35,20,15
1,24,17,7,3,7,30,28,2
1,22,17,6,4,7,30,28,2
2,21,17,5,6,6,29,31,-2
2,21,17,6,3,8,27,36,-9
1,20,17,5,5,7,21,27,-6
2,19,17,5,4,8,25,27,-2
2,18,17,5,3,9,22,30,-8
3,16,17,3,7,7,21,30,-9
2,16,17,5,1,11,17,39,-22
3,14,17,3,5,9,20,30,-10
3,9,17,2,3,12,14,41,-27
0,50,19,16,2,1,58,15,43
0,41,19,13,2,4,46,19,27
0,41,19,12,5,2,46,20,26
0,38,19,11,5,3,38,22,16
1,33,19,10,3,6,18,18,0
1,27,19,8,3,8,24,29,-5
1,26,19,6,8,5,17,13,4
2,26,19,7,5,7,21,24,-3
0,25,19,7,4,8,24,26,-2
2,24,19,7,3,9,28,33,-5
2,24,19,6,6,7,24,31,-7
3,24,19,7,3,9,12,21,-9
2,21,19,6,3,10,16,21,-5
3,21,19,6,3,10,20,27,-7
1,20,19,5,5,9,22,29,-7
1,20,19,5,5,9,18,33,-15
3,19,19,5,4,10,18,27,-9
3,19,19,5,4,10,17,30,-13
2,18,19,3,9,7,21,29,-8
3,11,19,3,2,14,13,34,-21
0,53,19,17,2,0,59,11,48
0,34,19,10,4,5,29,19,10
0,33,19,9,6,4,32,23,9
0,33,19,9,6,4,30,23,7
1,30,19,8,6,5,26,20,6
0,30,19,9,3,7,32,28,4
1,27,19,7,6,6,14,18,-4
2,26,19,6,8,5,30,23,7
1,26,19,7,5,7,28,27,1
1,26,19,7,5,7,27,28,-1
1,26,19,6,8,5,15,18,-3
2,25,19,6,7,6,22,22,0
2,23,19,6,5,8,26,26,0
3,22,19,5,7,7,19,29,-10
2,20,19,4,8,7,21,24,-3
