0,1,2,3,4,5,6,7,8
0,38,19,11,5,3,32,21,11
0,34,19,9,7,3,27,21,6
0,32,19,9,5,5,27,17,10
0,31,19,9,4,6,35,25,10
0,29,19,8,5,6,30,26,4
2,29,19,8,5,6,30,30,0
1,29,19,8,5,6,26,27,-1
1,27,19,7,6,6,29,21,8
1,27,19,7,6,6,29,25,4
3,25,19,7,4,8,29,32,-3
3,25,19,6,7,6,23,23,0
2,23,19,6,5,8,20,22,-2
2,23,19,6,5,8,17,21,-4
2,22,19,6,4,9,25,24,1
3,22,19,6,4,9,27,39,-12
1,21,19,5,6,8,22,26,-4
2,21,19,4,9,6,21,23,-2
1,20,19,6,2,11,20,28,-8
3,20,19,4,8,7,20,28,-8
3,18,19,4,6,9,23,33,-10
0,40,19,12,4,3,24,7,17
1,33,19,9,6,4,38,27,11
0,32,19,10,2,7,41,36,5
1,31,19,9,4,6,34,23,11
1,30,19,8,6,5,25,23,2
3,29,19,9,2,8,28,25,3
1,28,19,8,4,7,18,20,-2
0,27,19,8,3,8,27,26,1
2,27,19,8,3,8,26,25,1
2,27,19,8,3,8,33,34,-1
0,27,19,7,6,6,30,30,0
0,26,19,6,8,5,21,15,6
3,26,19,6,8,5,22,24,-2
1,25,19,7,4,8,29,28,1
2,24,19,6,6,7,28,32,-4
3,24,19,6,6,7,21,23,-2
2,22,19,5,7,7,29,28,1
2,20,19,5,5,9,28,34,-6
3,16,19,4,4,11,19,35,-16
3,10,19,3,1,15,16,42,-26
0,41,19,12,5,2,35,12,23
0,36,19,11,3,5,32,19,13
0,34,19,10,4,5,32,21,11
0,33,19,9,6,4,33,21,12
1,32,19,10,2,7,30,21,9
1,32,19,9,5,5,29,19,10
0,31,19,9,4,6,30,19,11
1,31,19,9,4,6,29,19,10
2,27,19,8,3,8,21,24,-3
1,26,19,7,5,7,21,20,1
3,25,19,6,7,6,24,35,-11
2,24,19,6,6,7,25,37,-12
1,23,19,6,5,8,23,28,-5
3,22,19,6,4,9,26,39,-13
3,21,19,6,3,10,20,29,-9
2,20,19,5,5,9,17,21,-4
3,19,19,5,4,10,30,39,-9
2,17,19,4,5,10,21,33,-12
2,16,19,4,4,11,21,29,-8
3,16,19,4,4,11,20,34,-14
0,37,19,11,4,4,37,23,14
0,37,19,10,7,2,31,17,14
1,35,19,10,5,4,37,26,11
0,33,19,9,6,4,28,21,7
1,32,19,9,5,5,32,25,7
1,30,19,8,6,5,28,22,6
0,29,19,8,5,6,27,29,-2
